RealizationID,YrMth,SurfaceWaterSource,Value
488,2018-10-1,TBC_avail,95.01508536
488,2018-11-1,TBC_avail,44.00815346
488,2018-12-1,TBC_avail,160.6026767
488,2019-01-1,TBC_avail,189.6622727
488,2019-02-1,TBC_avail,23.12302108
488,2019-03-1,TBC_avail,183.0530134
488,2019-04-1,TBC_avail,177.3300134
488,2019-05-1,TBC_avail,186.6888722
488,2019-06-1,TBC_avail,65.23943633
488,2019-07-1,TBC_avail,57.96895132
488,2019-08-1,TBC_avail,165.5179627
488,2019-09-1,TBC_avail,127.813103
488,2019-10-1,TBC_avail,181.2328398
488,2019-11-1,TBC_avail,108.6768299
488,2019-12-1,TBC_avail,13.18522379
488,2020-01-1,TBC_avail,78.46643092
488,2020-02-1,TBC_avail,144.7879987
488,2020-03-1,TBC_avail,30.74204342
488,2020-04-1,TBC_avail,106.9106219
488,2020-05-1,TBC_avail,159.2004632
488,2020-06-1,TBC_avail,36.04665497
488,2020-07-1,TBC_avail,52.22814396
488,2020-08-1,TBC_avail,40.36884684
488,2020-09-1,TBC_avail,93.35421357
120,2018-10-1,TBC_avail,135.1723332
120,2018-11-1,TBC_avail,80.50090306
120,2018-12-1,TBC_avail,38.93269804
120,2019-01-1,TBC_avail,22.06092758
120,2019-02-1,TBC_avail,100.9299617
120,2019-03-1,TBC_avail,189.2432132
120,2019-04-1,TBC_avail,67.94290319
120,2019-05-1,TBC_avail,73.33919734
120,2019-06-1,TBC_avail,136.2583174
120,2019-07-1,TBC_avail,83.41196914
120,2019-08-1,TBC_avail,81.05352925
120,2019-09-1,TBC_avail,106.5108479
120,2019-10-1,TBC_avail,165.5585046
120,2019-11-1,TBC_avail,122.1301495
120,2019-12-1,TBC_avail,68.12829612
120,2020-01-1,TBC_avail,186.1104573
120,2020-02-1,TBC_avail,143.8802917
120,2020-03-1,TBC_avail,119.2325194
120,2020-04-1,TBC_avail,31.97499709
120,2020-05-1,TBC_avail,34.62876545
120,2020-06-1,TBC_avail,14.9108555
120,2020-07-1,TBC_avail,69.6446866
120,2020-08-1,TBC_avail,69.2317023
120,2020-09-1,TBC_avail,63.48968951
598,2018-10-1,TBC_avail,44.38093407
598,2018-11-1,TBC_avail,132.1723709
598,2018-12-1,TBC_avail,38.46820652
598,2019-01-1,TBC_avail,5.852083167
598,2019-02-1,TBC_avail,83.26488016
598,2019-03-1,TBC_avail,42.29541797
598,2019-04-1,TBC_avail,186.7103197
598,2019-05-1,TBC_avail,69.89205074
598,2019-06-1,TBC_avail,122.4925698
598,2019-07-1,TBC_avail,176.7390383
598,2019-08-1,TBC_avail,188.4328123
598,2019-09-1,TBC_avail,190
598,2019-10-1,TBC_avail,190
598,2019-11-1,TBC_avail,138.2289494
598,2019-12-1,TBC_avail,185.2767215
598,2020-01-1,TBC_avail,181.5045406
598,2020-02-1,TBC_avail,117.1814885
598,2020-03-1,TBC_avail,176.3916852
598,2020-04-1,TBC_avail,185.6305909
598,2020-05-1,TBC_avail,122.3904601
598,2020-06-1,TBC_avail,144.4998766
598,2020-07-1,TBC_avail,89.86551818
598,2020-08-1,TBC_avail,188.568003
598,2020-09-1,TBC_avail,160.0550581
9,2018-10-1,TBC_avail,108.2609849
9,2018-11-1,TBC_avail,115.7795662
9,2018-12-1,TBC_avail,166.8336165
9,2019-01-1,TBC_avail,81.83042056
9,2019-02-1,TBC_avail,19.8158828
9,2019-03-1,TBC_avail,162.4231173
9,2019-04-1,TBC_avail,107.136089
9,2019-05-1,TBC_avail,139.7754109
9,2019-06-1,TBC_avail,49.53746602
9,2019-07-1,TBC_avail,190
9,2019-08-1,TBC_avail,59.4424792
9,2019-09-1,TBC_avail,55.09580337
9,2019-10-1,TBC_avail,61.90148369
9,2019-11-1,TBC_avail,98.49003604
9,2019-12-1,TBC_avail,105.0831241
9,2020-01-1,TBC_avail,140.2568978
9,2020-02-1,TBC_avail,188.0646282
9,2020-03-1,TBC_avail,112.3698676
9,2020-04-1,TBC_avail,75.72006306
9,2020-05-1,TBC_avail,142.2379039
9,2020-06-1,TBC_avail,35.93443178
9,2020-07-1,TBC_avail,50.39680328
9,2020-08-1,TBC_avail,68.78369609
9,2020-09-1,TBC_avail,72.47152708
993,2018-10-1,TBC_avail,185.9350505
993,2018-11-1,TBC_avail,49.46345478
993,2018-12-1,TBC_avail,177.948477
993,2019-01-1,TBC_avail,69.7715781
993,2019-02-1,TBC_avail,134.744779
993,2019-03-1,TBC_avail,28.43275699
993,2019-04-1,TBC_avail,32.72047371
993,2019-05-1,TBC_avail,71.99028242
993,2019-06-1,TBC_avail,116.4016511
993,2019-07-1,TBC_avail,43.84146551
993,2019-08-1,TBC_avail,86.01973636
993,2019-09-1,TBC_avail,186.0981295
993,2019-10-1,TBC_avail,187.6753526
993,2019-11-1,TBC_avail,186.6277559
993,2019-12-1,TBC_avail,142.9537192
993,2020-01-1,TBC_avail,74.46627203
993,2020-02-1,TBC_avail,44.03406115
993,2020-03-1,TBC_avail,151.1239698
993,2020-04-1,TBC_avail,62.47953627
993,2020-05-1,TBC_avail,46.16614885
993,2020-06-1,TBC_avail,37.53450267
993,2020-07-1,TBC_avail,35.13375864
993,2020-08-1,TBC_avail,84.36392363
993,2020-09-1,TBC_avail,58.61312411
888,2018-10-1,TBC_avail,27.13417847
888,2018-11-1,TBC_avail,70.07774216
888,2018-12-1,TBC_avail,43.36822553
888,2019-01-1,TBC_avail,85.09900956
888,2019-02-1,TBC_avail,178.1508816
888,2019-03-1,TBC_avail,116.3201936
888,2019-04-1,TBC_avail,107.9961421
888,2019-05-1,TBC_avail,155.5460853
888,2019-06-1,TBC_avail,92.95922105
888,2019-07-1,TBC_avail,35.25685279
888,2019-08-1,TBC_avail,21.80001013
888,2019-09-1,TBC_avail,62.00172393
888,2019-10-1,TBC_avail,59.31975348
888,2019-11-1,TBC_avail,37.15172033
888,2019-12-1,TBC_avail,161.0231064
888,2020-01-1,TBC_avail,184.7576538
888,2020-02-1,TBC_avail,166.4362043
888,2020-03-1,TBC_avail,185.6130383
888,2020-04-1,TBC_avail,59.03265168
888,2020-05-1,TBC_avail,95.98866129
888,2020-06-1,TBC_avail,145.4133743
888,2020-07-1,TBC_avail,152.2562153
888,2020-08-1,TBC_avail,120.5978395
888,2020-09-1,TBC_avail,55.51629411
748,2018-10-1,TBC_avail,144.8361753
748,2018-11-1,TBC_avail,190
748,2018-12-1,TBC_avail,120.4401607
748,2019-01-1,TBC_avail,104.7945123
748,2019-02-1,TBC_avail,109.9577651
748,2019-03-1,TBC_avail,102.3027648
748,2019-04-1,TBC_avail,131.0037222
748,2019-05-1,TBC_avail,115.6446802
748,2019-06-1,TBC_avail,150.0095715
748,2019-07-1,TBC_avail,151.6256718
748,2019-08-1,TBC_avail,164.3319205
748,2019-09-1,TBC_avail,190
748,2019-10-1,TBC_avail,54.74338321
748,2019-11-1,TBC_avail,68.06008897
748,2019-12-1,TBC_avail,57.45925711
748,2020-01-1,TBC_avail,123.2907457
748,2020-02-1,TBC_avail,143.0531398
748,2020-03-1,TBC_avail,188.6195335
748,2020-04-1,TBC_avail,136.1097331
748,2020-05-1,TBC_avail,29.52615996
748,2020-06-1,TBC_avail,61.91274428
748,2020-07-1,TBC_avail,11.37645583
748,2020-08-1,TBC_avail,16.4622515
748,2020-09-1,TBC_avail,125.7949226
603,2018-10-1,TBC_avail,99.19555749
603,2018-11-1,TBC_avail,38.87581263
603,2018-12-1,TBC_avail,91.56568341
603,2019-01-1,TBC_avail,64.49698689
603,2019-02-1,TBC_avail,33.00009289
603,2019-03-1,TBC_avail,44.54776579
603,2019-04-1,TBC_avail,59.71409114
603,2019-05-1,TBC_avail,66.97705249
603,2019-06-1,TBC_avail,110.2031216
603,2019-07-1,TBC_avail,164.9640135
603,2019-08-1,TBC_avail,28.5278658
603,2019-09-1,TBC_avail,56.53923443
603,2019-10-1,TBC_avail,141.3646842
603,2019-11-1,TBC_avail,182.3890929
603,2019-12-1,TBC_avail,162.0199164
603,2020-01-1,TBC_avail,147.3205465
603,2020-02-1,TBC_avail,34.32140434
603,2020-03-1,TBC_avail,174.5116353
603,2020-04-1,TBC_avail,45.48092126
603,2020-05-1,TBC_avail,93.6821086
603,2020-06-1,TBC_avail,15.35089641
603,2020-07-1,TBC_avail,6.055568688
603,2020-08-1,TBC_avail,62.22951166
603,2020-09-1,TBC_avail,107.5654138
464,2018-10-1,TBC_avail,118.5395586
464,2018-11-1,TBC_avail,109.0679188
464,2018-12-1,TBC_avail,14.02523428
464,2019-01-1,TBC_avail,83.03771331
464,2019-02-1,TBC_avail,66.95909326
464,2019-03-1,TBC_avail,90.85865666
464,2019-04-1,TBC_avail,21.37829673
464,2019-05-1,TBC_avail,21.72941318
464,2019-06-1,TBC_avail,65.39342915
464,2019-07-1,TBC_avail,91.18925699
464,2019-08-1,TBC_avail,48.74909716
464,2019-09-1,TBC_avail,181.3062718
464,2019-10-1,TBC_avail,27.49910622
464,2019-11-1,TBC_avail,25.68317548
464,2019-12-1,TBC_avail,16.98322235
464,2020-01-1,TBC_avail,13.39852261
464,2020-02-1,TBC_avail,26.69935703
464,2020-03-1,TBC_avail,20.62016023
464,2020-04-1,TBC_avail,34.79464973
464,2020-05-1,TBC_avail,33.09642503
464,2020-06-1,TBC_avail,93.74126776
464,2020-07-1,TBC_avail,149.1425792
464,2020-08-1,TBC_avail,128.8206105
464,2020-09-1,TBC_avail,57.72346186
756,2018-10-1,TBC_avail,100.9902456
756,2018-11-1,TBC_avail,53.06697169
756,2018-12-1,TBC_avail,22.03877527
756,2019-01-1,TBC_avail,27.90230487
756,2019-02-1,TBC_avail,31.70481577
756,2019-03-1,TBC_avail,92.34040645
756,2019-04-1,TBC_avail,163.8799309
756,2019-05-1,TBC_avail,44.20102019
756,2019-06-1,TBC_avail,127.9983346
756,2019-07-1,TBC_avail,21.706018
756,2019-08-1,TBC_avail,181.2952494
756,2019-09-1,TBC_avail,190
756,2019-10-1,TBC_avail,85.44529749
756,2019-11-1,TBC_avail,100.9248243
756,2019-12-1,TBC_avail,182.9232252
756,2020-01-1,TBC_avail,134.5421232
756,2020-02-1,TBC_avail,122.7525757
756,2020-03-1,TBC_avail,181.2196394
756,2020-04-1,TBC_avail,156.8187329
756,2020-05-1,TBC_avail,33.54584785
756,2020-06-1,TBC_avail,31.6718622
756,2020-07-1,TBC_avail,20.40500151
756,2020-08-1,TBC_avail,56.35191265
756,2020-09-1,TBC_avail,28.79650545
349,2018-10-1,TBC_avail,187.7607846
349,2018-11-1,TBC_avail,148.6573496
349,2018-12-1,TBC_avail,171.4068191
349,2019-01-1,TBC_avail,31.23576604
349,2019-02-1,TBC_avail,44.4645788
349,2019-03-1,TBC_avail,25.26883283
349,2019-04-1,TBC_avail,59.78625834
349,2019-05-1,TBC_avail,67.92856624
349,2019-06-1,TBC_avail,64.48401333
349,2019-07-1,TBC_avail,184.4973568
349,2019-08-1,TBC_avail,96.21052642
349,2019-09-1,TBC_avail,114.6651369
349,2019-10-1,TBC_avail,174.6607967
349,2019-11-1,TBC_avail,27.94055696
349,2019-12-1,TBC_avail,79.68892907
349,2020-01-1,TBC_avail,29.62156397
